time_str,time,content,url,platform,original_tweet,impact_on_market,sentiment_score,market_impact_score,keywords,sector,reason,keywords_list,unique_companies,unique_tickers,ticker,company
"October 22, 2025 @ 12:55 PM ET",2025-10-22 12:55:00,mary barra of general motors and bill ford of ford motor company just called to thank me for putting tariffs on mid size and large size trucks their stock has gone through the roof they told me that without tariffs it would be very hard long slog for truck and car manufacturers in the united states told them it very simple this is national security matter with the tariffs we have strong and powerful economy and country without them we have the exact opposite,https://truthsocial.com/@realDonaldTrump/posts/115418866635313882,Truth Social,mary barra of general motors and bill ford of ford motor company just called to thank me for putting tariffs on mid size and large size trucks their stock has gone through the roof they told me that without tariffs it would be very hard long slog for truck and car manufacturers in the united states told them it very simple this is national security matter with the tariffs we have strong and powerful economy and country without them we have the exact opposite,Direct,0.7,0.8,"['General Motors', 'Ford', 'Tariffs', 'Mary Barra', 'Bill Ford']",['Consumer Discretionary'],"Directly references GM and Ford and praises truck tariffs, likely influencing auto stocks.","['General Motors', 'Ford', 'Tariffs', 'Mary Barra', 'Bill Ford']","General Motors Company, Ford Motor Company","GM, F",GM,General Motors Company
"October 22, 2025 @ 12:55 PM ET",2025-10-22 12:55:00,mary barra of general motors and bill ford of ford motor company just called to thank me for putting tariffs on mid size and large size trucks their stock has gone through the roof they told me that without tariffs it would be very hard long slog for truck and car manufacturers in the united states told them it very simple this is national security matter with the tariffs we have strong and powerful economy and country without them we have the exact opposite,https://truthsocial.com/@realDonaldTrump/posts/115418866635313882,Truth Social,mary barra of general motors and bill ford of ford motor company just called to thank me for putting tariffs on mid size and large size trucks their stock has gone through the roof they told me that without tariffs it would be very hard long slog for truck and car manufacturers in the united states told them it very simple this is national security matter with the tariffs we have strong and powerful economy and country without them we have the exact opposite,Direct,0.7,0.8,"['General Motors', 'Ford', 'Tariffs', 'Mary Barra', 'Bill Ford']",['Consumer Discretionary'],"Directly references GM and Ford and praises truck tariffs, likely influencing auto stocks.","['General Motors', 'Ford', 'Tariffs', 'Mary Barra', 'Bill Ford']","General Motors Company, Ford Motor Company","GM, F",F,Ford Motor Company
"October 19, 2025 @ 10:01 AM ET",2025-10-19 10:01:00,everybody am interviewed by the great maria bartiromo right now on foxnews enjoy,https://truthsocial.com/@realDonaldTrump/posts/115401193724514444,Truth Social,everybody am interviewed by the great maria bartiromo right now on foxnews enjoy,Direct,0.4,0.1,"['Fox News', 'Maria Bartiromo']",['Communication Services'],"References Fox News and a media figure, directly naming a company but offering no economic or corporate content, implying minimal market impact.","['Fox News', 'Maria Bartiromo']",Fox Corporation,FOXA,FOXA,Fox Corporation
"October 14, 2025 @ 1:00 AM ET",2025-10-14 01:00:00,jensen huang president trump did the miracle we are so proud and grateful,https://truthsocial.com/@realDonaldTrump/posts/115370756035314921,Truth Social,jensen huang president trump did the miracle we are so proud and grateful,Direct,0.9,0.6,"['NVIDIA', 'Jensen Huang', 'President Trump', 'Semiconductors', 'AI']","['Information Technology', 'NVIDIA']","Mentions NVIDIA CEO Jensen Huang positively, likely boosting sentiment toward NVIDIA and semiconductor stocks.","['NVIDIA', 'Jensen Huang', 'President Trump', 'Semiconductors', 'AI']",NVIDIA Corporation,NVDA,NVDA,NVIDIA Corporation
"October 11, 2025 @ 11:35 PM ET",2025-10-11 23:35:00,great job by super lawyer bill brennan on fake news cnn he took the third rate anchor apart when discussing the legal merit of various cases they probably won have him back again total losers,https://truthsocial.com/@realDonaldTrump/posts/115359097815090250,Truth Social,great job by super lawyer bill brennan on fake news cnn he took the third rate anchor apart when discussing the legal merit of various cases they probably won have him back again total losers,Direct,-0.6,0.2,"['CNN', 'Warner Bros. Discovery']","['Communication Services', 'CNN']",Direct negative mention of CNN could modestly sway sentiment toward the media company and its parent within Communication Services.,"['CNN', 'Warner Bros. Discovery']","Warner Bros. Discovery, Inc.",WBD,WBD,"Warner Bros. Discovery, Inc."
"October 9, 2025 @ 7:50 AM ET",2025-10-09 07:50:00,thank you to eylon levy for your words of wisdom on foxnews this morning great day in the middle east,https://truthsocial.com/@realDonaldTrump/posts/115344056627930464,Truth Social,thank you to eylon levy for your words of wisdom on foxnews this morning great day in the middle east,Direct,0.6,0.1,"['Fox News', 'Fox Corporation', 'Middle East', 'Geopolitics', 'Eylon Levy']","['Communication Services', 'Fox Corporation']","References Fox News (a specific company) positively but with no policy or business detail, implying minimal market impact.","['Fox News', 'Fox Corporation', 'Middle East', 'Geopolitics', 'Eylon Levy']",Fox Corporation,FOXA,FOXA,Fox Corporation
"October 5, 2025 @ 7:19 PM ET",2025-10-05 19:19:00,before became president opec kept oil prices high it wasn right for them to do that but in different form is being done again this time by the big homebuilders of our nation they re my friends and they re very important to the success of our country but now they can get financing and they have to start building homes they re sitting on 2 million empty lots record m asking fannie mae and freddie mac to get big homebuilders going and by so doing help restore the american dream,https://truthsocial.com/@realDonaldTrump/posts/115324114715261770,Truth Social,before became president opec kept oil prices high it wasn right for them to do that but in different form is being done again this time by the big homebuilders of our nation they re my friends and they re very important to the success of our country but now they can get financing and they have to start building homes they re sitting on 2 million empty lots record m asking fannie mae and freddie mac to get big homebuilders going and by so doing help restore the american dream,Direct,0.3,0.7,"['Fannie Mae', 'Freddie Mac', 'Homebuilders', 'Mortgage financing', 'OPEC']","['Consumer Discretionary', 'Financials', 'Real Estate', 'Materials']","Directly names Fannie Mae and Freddie Mac while urging support for large homebuilders, signaling potential policy-driven boost to housing and mortgage finance stocks.","['Fannie Mae', 'Freddie Mac', 'Homebuilders', 'Mortgage financing', 'OPEC']","Federal National Mortgage Association, Federal Home Loan Mortgage Corporation","FNMA, FMCC",FNMA,Federal National Mortgage Association
"October 5, 2025 @ 7:19 PM ET",2025-10-05 19:19:00,before became president opec kept oil prices high it wasn right for them to do that but in different form is being done again this time by the big homebuilders of our nation they re my friends and they re very important to the success of our country but now they can get financing and they have to start building homes they re sitting on 2 million empty lots record m asking fannie mae and freddie mac to get big homebuilders going and by so doing help restore the american dream,https://truthsocial.com/@realDonaldTrump/posts/115324114715261770,Truth Social,before became president opec kept oil prices high it wasn right for them to do that but in different form is being done again this time by the big homebuilders of our nation they re my friends and they re very important to the success of our country but now they can get financing and they have to start building homes they re sitting on 2 million empty lots record m asking fannie mae and freddie mac to get big homebuilders going and by so doing help restore the american dream,Direct,0.3,0.7,"['Fannie Mae', 'Freddie Mac', 'Homebuilders', 'Mortgage financing', 'OPEC']","['Consumer Discretionary', 'Financials', 'Real Estate', 'Materials']","Directly names Fannie Mae and Freddie Mac while urging support for large homebuilders, signaling potential policy-driven boost to housing and mortgage finance stocks.","['Fannie Mae', 'Freddie Mac', 'Homebuilders', 'Mortgage financing', 'OPEC']","Federal National Mortgage Association, Federal Home Loan Mortgage Corporation","FNMA, FMCC",FMCC,Federal Home Loan Mortgage Corporation
"October 5, 2025 @ 7:19 PM ET",2025-10-05 19:19:00,i knew al sharpton for many years not that it matters but he was major trump fan he ask me to go to his fake rallies all the time because brought big crowds and he couldn get anybody to come without me then he did the tawana brawley hoax one of the worst low level scams in history and that set him back big time then he got to know brian roberts chairman of fake news nbc who gave him what would become one of the lowest rated shows in television history roberts is afraid to take him off because it wouldn be politically correct this is just one of the many reasons that the federal communications commission should look into the license of nbc which shows almost exclusively positive democrat content likewise abc fake news about the same thing 97 negative to republicans,https://truthsocial.com/@realDonaldTrump/posts/115324116995053528,Truth Social,i knew al sharpton for many years not that it matters but he was major trump fan he ask me to go to his fake rallies all the time because brought big crowds and he couldn get anybody to come without me then he did the tawana brawley hoax one of the worst low level scams in history and that set him back big time then he got to know brian roberts chairman of fake news nbc who gave him what would become one of the lowest rated shows in television history roberts is afraid to take him off because it wouldn be politically correct this is just one of the many reasons that the federal communications commission should look into the license of nbc which shows almost exclusively positive democrat content likewise abc fake news about the same thing 97 negative to republicans,Direct,-0.9,0.6,"['Comcast', 'NBC', 'Disney', 'ABC', 'Federal Communications Commission']",['Communication Services'],"Criticizes NBC/ABC and urges FCC license scrutiny, potentially pressuring parent stocks Comcast and Disney in the Communication Services sector.","['Comcast', 'NBC', 'Disney', 'ABC', 'Federal Communications Commission']","Comcast Corporation, The Walt Disney Company","CMCSA, DIS",CMCSA,Comcast Corporation
"October 5, 2025 @ 7:19 PM ET",2025-10-05 19:19:00,i knew al sharpton for many years not that it matters but he was major trump fan he ask me to go to his fake rallies all the time because brought big crowds and he couldn get anybody to come without me then he did the tawana brawley hoax one of the worst low level scams in history and that set him back big time then he got to know brian roberts chairman of fake news nbc who gave him what would become one of the lowest rated shows in television history roberts is afraid to take him off because it wouldn be politically correct this is just one of the many reasons that the federal communications commission should look into the license of nbc which shows almost exclusively positive democrat content likewise abc fake news about the same thing 97 negative to republicans,https://truthsocial.com/@realDonaldTrump/posts/115324116995053528,Truth Social,i knew al sharpton for many years not that it matters but he was major trump fan he ask me to go to his fake rallies all the time because brought big crowds and he couldn get anybody to come without me then he did the tawana brawley hoax one of the worst low level scams in history and that set him back big time then he got to know brian roberts chairman of fake news nbc who gave him what would become one of the lowest rated shows in television history roberts is afraid to take him off because it wouldn be politically correct this is just one of the many reasons that the federal communications commission should look into the license of nbc which shows almost exclusively positive democrat content likewise abc fake news about the same thing 97 negative to republicans,Direct,-0.9,0.6,"['Comcast', 'NBC', 'Disney', 'ABC', 'Federal Communications Commission']",['Communication Services'],"Criticizes NBC/ABC and urges FCC license scrutiny, potentially pressuring parent stocks Comcast and Disney in the Communication Services sector.","['Comcast', 'NBC', 'Disney', 'ABC', 'Federal Communications Commission']","Comcast Corporation, The Walt Disney Company","CMCSA, DIS",DIS,The Walt Disney Company
"October 5, 2025 @ 11:46 AM ET",2025-10-05 11:46:00,why is foxnews and peter doocy putting on democrat senator mark kelly to talk about totally unabated or challenged healthcare the fake spin is so bad for republicans that it is hard to believe that we win it will be very unfair in the future when they don have trump to fight for them therefore we should fix it now m watching this interview it just doesn end fox should either get on board or get off board now but at this point it just doesn make any difference to me they suck up the ratings because of us and then spin them in the democrats direction they refuse to put up polls that correctly show me at 65 in popularity republican record but if have fake bad poll many of which are done by fox one of the worst pollsters out there is the foxnews poll they put them up immediately and with gusto republicans are so tired of this fight with fox always trying to be so politically correct thank you for your attention to this matter,https://truthsocial.com/@realDonaldTrump/posts/115322333732211990,Truth Social,why is foxnews and peter doocy putting on democrat senator mark kelly to talk about totally unabated or challenged healthcare the fake spin is so bad for republicans that it is hard to believe that we win it will be very unfair in the future when they don have trump to fight for them therefore we should fix it now m watching this interview it just doesn end fox should either get on board or get off board now but at this point it just doesn make any difference to me they suck up the ratings because of us and then spin them in the democrats direction they refuse to put up polls that correctly show me at 65 in popularity republican record but if have fake bad poll many of which are done by fox one of the worst pollsters out there is the foxnews poll they put them up immediately and with gusto republicans are so tired of this fight with fox always trying to be so politically correct thank you for your attention to this matter,Direct,-0.8,0.4,"['Fox News', 'Fox Corporation', 'healthcare', 'polls', 'ratings']",['Communication Services'],"Directly criticizes Fox News and its polling, potentially affecting investor sentiment toward Fox Corporation.","['Fox News', 'Fox Corporation', 'healthcare', 'polls', 'ratings']",Fox Corporation,FOXA,FOXA,Fox Corporation
"October 4, 2025 @ 6:20 PM ET",2025-10-04 18:20:00,i hope univision great and very popular hispanic network can get back onto the very amazing google youtube it has been taken out of their package which is very bad for republicans in the upcoming midterms they were so good to me with their highest rated ever political special and set republican record in hispanic voting google for the purpose of fairness please let univision back president djt,https://truthsocial.com/@realDonaldTrump/posts/115318223084524890,Truth Social,i hope univision great and very popular hispanic network can get back onto the very amazing google youtube it has been taken out of their package which is very bad for republicans in the upcoming midterms they were so good to me with their highest rated ever political special and set republican record in hispanic voting google for the purpose of fairness please let univision back president djt,Direct,-0.1,0.3,"['Google', 'YouTube', 'Univision', 'Alphabet']",['Communication Services'],"Directly references Google/YouTube and Univision, potentially affecting Alphabet’s media platform and related viewership/advertising dynamics.","['Google', 'YouTube', 'Univision', 'Alphabet']",Alphabet Inc.,GOOGL,GOOGL,Alphabet Inc.
"October 4, 2025 @ 4:01 PM ET",2025-10-04 16:01:00,corrupt letitia james is costing new york state hundreds of billions of dollars in lost business no company or individual wants to be there knowing that she the attorney general she is complete and total disaster who tried running against kathy hochul for governor and only got 1 of the vote in polls and quit she then went back to her witch hunt against president donald trump and others until this scum is removed from the attorney general office no company will move to new york and few companies will be using the new york stock exchange or nasdaq for going public the new texas exchange will be taking all of this business away and we re talking hundreds of billions of dollars,https://truthsocial.com/@realDonaldTrump/posts/115317676598981431,Truth Social,corrupt letitia james is costing new york state hundreds of billions of dollars in lost business no company or individual wants to be there knowing that she the attorney general she is complete and total disaster who tried running against kathy hochul for governor and only got 1 of the vote in polls and quit she then went back to her witch hunt against president donald trump and others until this scum is removed from the attorney general office no company will move to new york and few companies will be using the new york stock exchange or nasdaq for going public the new texas exchange will be taking all of this business away and we re talking hundreds of billions of dollars,Direct,-0.9,0.5,"['Nasdaq', 'NYSE', 'Texas Stock Exchange (TXSE)', 'IPOs', 'Capital markets']",['Financials'],"Directly references NYSE and Nasdaq and predicts loss of listings to a Texas exchange, implying negative impact on exchange operators and capital markets activity.","['Nasdaq', 'NYSE', 'Texas Stock Exchange (TXSE)', 'IPOs', 'Capital markets']","Nasdaq, Inc., Intercontinental Exchange, Inc.","NDAQ, ICE",NDAQ,"Nasdaq, Inc."
"October 4, 2025 @ 4:01 PM ET",2025-10-04 16:01:00,corrupt letitia james is costing new york state hundreds of billions of dollars in lost business no company or individual wants to be there knowing that she the attorney general she is complete and total disaster who tried running against kathy hochul for governor and only got 1 of the vote in polls and quit she then went back to her witch hunt against president donald trump and others until this scum is removed from the attorney general office no company will move to new york and few companies will be using the new york stock exchange or nasdaq for going public the new texas exchange will be taking all of this business away and we re talking hundreds of billions of dollars,https://truthsocial.com/@realDonaldTrump/posts/115317676598981431,Truth Social,corrupt letitia james is costing new york state hundreds of billions of dollars in lost business no company or individual wants to be there knowing that she the attorney general she is complete and total disaster who tried running against kathy hochul for governor and only got 1 of the vote in polls and quit she then went back to her witch hunt against president donald trump and others until this scum is removed from the attorney general office no company will move to new york and few companies will be using the new york stock exchange or nasdaq for going public the new texas exchange will be taking all of this business away and we re talking hundreds of billions of dollars,Direct,-0.9,0.5,"['Nasdaq', 'NYSE', 'Texas Stock Exchange (TXSE)', 'IPOs', 'Capital markets']",['Financials'],"Directly references NYSE and Nasdaq and predicts loss of listings to a Texas exchange, implying negative impact on exchange operators and capital markets activity.","['Nasdaq', 'NYSE', 'Texas Stock Exchange (TXSE)', 'IPOs', 'Capital markets']","Nasdaq, Inc., Intercontinental Exchange, Inc.","NDAQ, ICE",ICE,"Intercontinental Exchange, Inc."
"September 26, 2025 @ 5:14 PM ET",2025-09-26 17:14:00,corrupt and totally trump deranged lisa monaco purported pawn of legal lightweight andrew weissmann was senior national security aide under barrack hussein obama and lawfare and weaponization obsessed deputy attorney general under crooked joe biden and lisa puppet boss attorney general merrick garland who were all the architects of the worst ever deep state conspiracies against our country russia russia russia the january 6th hoax the illegal raid on mar lago the biden autopen scandal the documents witch hunt and more monaco has been shockingly hired as the president of global affairs for microsoft in very senior role with access to highly sensitive information monaco having that kind of access is unacceptable and cannot be allowed to stand she is menace to s national security especially given the major contracts that microsoft has with the united states government because of monaco many wrongful acts the s government recently stripped her of all security clearances took away all of her access to national security intelligence and banned her from all federal properties it is my opinion that microsoft should immediately terminate the employment of lisa monaco thank you for your attention to this matter president djt,https://media-cdn.factba.se/realdonaldtrump-truthsocial/115272665190921190.jpg,Truth Social,corrupt and totally trump deranged lisa monaco purported pawn of legal lightweight andrew weissmann was senior national security aide under barrack hussein obama and lawfare and weaponization obsessed deputy attorney general under crooked joe biden and lisa puppet boss attorney general merrick garland who were all the architects of the worst ever deep state conspiracies against our country russia russia russia the january 6th hoax the illegal raid on mar lago the biden autopen scandal the documents witch hunt and more monaco has been shockingly hired as the president of global affairs for microsoft in very senior role with access to highly sensitive information monaco having that kind of access is unacceptable and cannot be allowed to stand she is menace to s national security especially given the major contracts that microsoft has with the united states government because of monaco many wrongful acts the s government recently stripped her of all security clearances took away all of her access to national security intelligence and banned her from all federal properties it is my opinion that microsoft should immediately terminate the employment of lisa monaco thank you for your attention to this matter president djt,Direct,-0.9,0.6,"['Microsoft', 'Lisa Monaco', 'U.S. government contracts', 'National security', 'Security clearances']","['Information Technology', 'Microsoft']","Directly targets Microsoft by alleging national-security risks and urging termination of a purported executive, potentially pressuring MSFT and raising perceived regulatory/political risk.","['Microsoft', 'Lisa Monaco', 'U.S. government contracts', 'National security', 'Security clearances']",Microsoft Corporation,MSFT,MSFT,Microsoft Corporation
